avenida,esquina 1,esquina 2, coordenadas
Garibaldi,Centenario,8 de Octubre,-34.8898100 -56.1592800
L A de Herrera,Monte Caseros,Joanico,-34.8806500 -56.1540400
Larranaga,Monte Caseros,Joanico,-34.8797600 -56.1524800
Centenario,Cibils,L A de Herrera,-34.8834900 -56.1523200
Batlle y Ordonez,Joanico,8 de Octubre,-34.8789600 -56.1483000
Battle y Ordonez,Cabrera,8 de Octubre,-34.8797700 -56.1472200
8 de octubre,Cibils,Mariano Moreno,-34.8836500 -56.1552600
8 de Octubre,Avelino Miranda,Presidente Berro,-34.8924600 -56.1626900
8 de octubre,Mariano Moreno,Cibils,-34.8841100 -56.1557200
Joanico,Bv Batlle y Ordonez,Larranaga,-34.8801500 -56.1514900
8 de Octubre,Sanguinetti,Batlle y Ordonez,-34.8786600 -56.1471400
Comercio,Joanico,8 de Octubre,-34.8757500 -56.1434400
Larravide,Isla de Gaspar,8 de Octubre,-34.8744800 -56.1383800
Raissignier,Cno Carrasco,8 de Octubre,-34.8711100 -56.1343200
8 de Octubre,Battle y Ordonez,Sanguinetti,-34.8786600 -56.1465800
8 de Octubre,Serrato,Cipriano Miro,-34.8749100 -56.1401700
8 de Octubre,Gral Villagran,Raissignier,-34.8698800 -56.1348900
8 de Octubre,Cipriano Miro,Serrato,-34.8747900 -56.1403100
Soca,Brito del Pino,Rivera,-34.9024300 -56.1563000
Ponce,Ricaldoni,Rivera,-34.9021500 -56.1608300
Soca,Gestido,Rivera,-34.9037600 -56.1557500
Ponce,Av Brasil,Rivera,-34.9035000 -56.1619400
Rivera,Bv Artigas,Ponce,-34.9027200 -56.1623200
Rivera,Rosell y Rius,14 de Julio,-34.9027200 -56.1472400
L A de Herrera,Demostenes,Rivera,-34.9002570 -56.1392150
L A de Herrera,Placido Ellauri,Rivera,-34.9019340 -56.1381910
Rivera,14 de Julio,Rosell y Rius,-34.9031000 -56.1474700
Rivera,Batlle y Ordonez,Tezanos,-34.8997400 -56.1308300
Batlle y Ordonez,Ramon Anador,Rivera,-34.8969400 -56.1252300
Solano López,Av Italia,Asamblea,-34.8944300 -56.1229800
Batlle y Ordonez,Pereyra,Rivera,-34.8980100 -56.1240300
Rivera,Tezanos,Batlle y Ordonez,-34.8979000 -56.1253700
